GeoName,FIPS,GDP Impact,State,Unemploy Rate,GO_yieldImpact,REV_yieldImpact,infectedPCT
"Rockland, NY",36087,-0.066372147,NY,0.049713377,0.494648597,0.936982699,0.01968452
"Blaine, ID",16013,-0.091706866,ID,0.053542309,0.555228315,0.396098881,0.018591721
"Westchester, NY",36119,-0.042786673,NY,0.049713377,0.46842839,0.151887351,0.01642057
"Nassau, NY",36059,-0.027852237,NY,0.049713377,0.451825628,0.681686386,0.013669152
"Orleans, LA",22071,-0.06733539,LA,0.082517871,0.773434743,0.388809129,0.012995202
"Randolph, GA",13243,-0.053917227,GA,0.029935606,0.313368273,0.238126041,0.012835645
"Bronx, NY",36005,-0.021923775,NY,0.049713377,0.445234898,0.368026666,0.011723253
"Queens, NY",36081,-0.056290101,NY,0.049713377,0.483440286,0.628779561,0.011645809
"Dougherty, GA",13095,-0.033723771,GA,0.029935606,0.290919006,0.285588826,0.01138069
"Richmond, NY",36085,-0.032937033,NY,0.049713377,0.457478447,0.312458986,0.011221419
"Terrell, GA",13273,-0.021006626,GA,0.029935606,0.276781228,0.247296548,0.011135857
"Suffolk, NY",36103,-0.044929552,NY,0.049713377,0.47081065,0.686794382,0.010730048
"St. John the Baptist, LA",22095,-0.058790306,LA,0.082517871,0.763935087,0.65177295,0.01008474
"Orange, NY",36071,-0.042852901,NY,0.049713377,0.468502016,0.929947857,0.010040526
"Early, GA",13099,-0.037456073,GA,0.029935606,0.295068243,0.323008705,0.009519136
"Jefferson, LA",22051,-0.056749571,LA,0.082517871,0.761666382,0.238973224,0.009461425
"Passaic, NJ",34031,-0.046920391,NJ,0.074201652,0.680335988,0.608064867,0.008712183
"Union, NJ",34039,-0.057241366,NJ,0.074201652,0.691809919,0.239120325,0.008683523
"Kings, NY",36047,-0.034128439,NY,0.049713377,0.458802945,0.251221414,0.008626108
"St. James, LA",22093,-0.033321938,LA,0.082517871,0.735621648,0.207260057,0.008579826
"Bergen, NJ",34003,-0.06293186,NJ,0.074201652,0.698136098,0.387491989,0.008446667
"Hudson, NJ",34017,-0.041551918,NJ,0.074201652,0.674367803,0.685784097,0.008086069
"New York, NY",36061,-0.047369056,NY,0.049713377,0.473522672,0.236097318,0.007063276
"Essex, NJ",34013,-0.05327297,NJ,0.074201652,0.687398213,0.237238826,0.007006477
"Lee, GA",13177,-0.030895883,GA,0.029935606,0.287775215,0.311848458,0.007001867
"Eagle, CO",08037,-0.101253532,CO,0.026604143,0.33778912,0.398954384,0.006784334
"Summit, UT",49043,-0.106271778,UT,0.031016817,0.38072464,0.643729581,0.006477637
"St. Bernard, LA",22087,-0.028830938,LA,0.082517871,0.730628958,0.284125331,0.00643468
"St. Charles, LA",22089,-0.067987409,LA,0.082517871,0.774159599,0.241640062,0.006177024
"Sumter, GA",13261,-0.019123194,GA,0.029935606,0.274687399,0.367188984,0.006096735
"Calhoun, GA",13037,0,GA,0.029935606,0.253427953,0.403805538,0.005655195
"Gunnison, CO",08051,-0.065050611,CO,0.026604143,0.297541971,0.936587415,0.005612186
"Greer, OK",40055,-0.010719793,OK,0.037996921,0.333590497,0.244219654,0.005602241
"Wayne, MI",26163,-0.059543349,MI,0.090799137,0.834879545,0.461126241,0.005502637
"Plaquemines, LA",22075,-0.043780416,LA,0.082517871,0.747248443,0.563365708,0.00530241
"Iberville, LA",22047,-0.043591099,LA,0.082517871,0.747037978,0.235037393,0.005259758
"Mitchell, GA",13205,-0.02035507,GA,0.029935606,0.276056887,0.416370068,0.00516855
"Middlesex, NJ",34023,-0.066211241,NJ,0.074201652,0.701781818,0.631747073,0.005037197
"Morris, NJ",34027,-0.070993803,NJ,0.074201652,0.70709864,0.243233816,0.005017841
"Monmouth, NJ",34025,-0.048094716,NJ,0.074201652,0.681641497,0.23638447,0.004909542
"Dutchess, NY",36027,-0.038347152,NY,0.049713377,0.463492931,0.325145864,0.004741382
"Ocean, NJ",34029,-0.038461339,NJ,0.074201652,0.670931975,0.408567511,0.004703666
"Fairfield, CT",09001,-0.051273649,CT,0.033279081,0.338734475,0.311084673,0.004682339
"Clay, GA",13061,0,GA,0.029935606,0.253427953,0.275501709,0.004587156
"Suffolk, MA",25025,-0.048481445,MA,0.089085202,0.808072139,0.687856788,0.00447813
"Coffey, KS",20031,-0.012402007,KS,0.054451466,0.474761023,0.36517861,0.004279252
"Chambers, AL",01017,-0.0537441,AL,0.042297859,0.4178318,0.628018027,0.00421002
"Putnam, NY",36079,-0.039379504,NY,0.049713377,0.464640607,0.224902681,0.004098861
"Assumption, LA",22007,-0.033165493,LA,0.082517871,0.735447727,0.223044008,0.004065598
"Slope, ND",38087,0,ND,0.047437045,0.401591111,0.295748211,0.004
"Donley, TX",48129,0,TX,0.032499617,0.275134279,0.139089429,0.003965833
"Monroe, PA",42089,-0.06430376,PA,0.123671112,1.118458323,0.569504445,0.003940777
"Wilkinson, MS",28157,-0.012105182,MS,0.029841954,0.266092569,0.183446334,0.00382387
"Decatur, IN",18031,-0.079445673,IN,0.062111827,0.614144989,0.392431435,0.00372755
"Sullivan, NY",36105,-0.02440194,NY,0.049713377,0.447989898,0.450615094,0.003698696
"Lafourche, LA",22057,-0.046019496,LA,0.082517871,0.74973765,0.327440739,0.003636773
"Somerset, NJ",34035,-0.071825654,NJ,0.074201652,0.708023418,0.571754319,0.003614707
"Toole, MT",30101,0,MT,0.067713461,0.573246587,0.403805538,0.003589527
"Luzerne, PA",42079,-0.035570213,PA,0.123671112,1.086514951,0.379307847,0.003572587
"Lehigh, PA",42077,-0.044716213,PA,0.123671112,1.096682652,0.210668199,0.003571448
"Caddo, LA",22017,-0.034570302,LA,0.082517871,0.737009468,0.322145542,0.003342992
"De Soto, LA",22031,-0.051736008,LA,0.082517871,0.756092754,0.315914933,0.003313549
"Worth, GA",13321,-0.019495711,GA,0.029935606,0.27510153,0.599861871,0.003210352
"Oakland, MI",26125,-0.073340113,MI,0.090799137,0.850217546,0.30371737,0.003186268
"Macomb, MI",26099,-0.07082997,MI,0.090799137,0.847426996,0.681831122,0.003004673
"Baker, GA",13007,0,GA,0.029935606,0.253427953,0.295748211,0.002962475
"Ascension, LA",22005,-0.06458315,LA,0.082517871,0.77037505,0.459824201,0.002890904
"Washington, IA",19183,-0.034044251,IA,0.059400467,0.540718025,0.295439475,0.002822672
"St. Tammany, LA",22103,-0.039613857,LA,0.082517871,0.742616438,0.928979027,0.002814695
"Philadelphia, PA",42101,-0.034531234,PA,0.123671112,1.085359908,0.470942492,0.002813018
"Cleburne, AR",05023,-0.038990943,AR,0.028738852,0.286643132,0.325338428,0.002809101
"Northampton, PA",42095,-0.054824097,PA,0.123671112,1.107919687,0.377867481,0.002807213
"Turner, GA",13287,-0.004784998,GA,0.029935606,0.258747483,0.555682476,0.002755166
"Warren, NJ",34041,-0.049265008,NJ,0.074201652,0.682942522,0.383404097,0.0027454
"Tama, IA",19171,-0.034493085,IA,0.059400467,0.541216998,0.681630527,0.002729322
"Louisa, IA",19115,-0.013214344,IA,0.059400467,0.517561209,0.396848873,0.002718623
"Mercer, NJ",34021,-0.04520134,NJ,0.074201652,0.678424902,0.930650299,0.002699834
"Ripley, IN",18137,-0.034261129,IN,0.062111827,0.56391288,0.604278355,0.002683237
"Franklin, IN",18047,-0.050628101,IN,0.062111827,0.582108206,0.237142231,0.002680376
"Northampton, NC",37131,0.000892166,NC,0.052980406,0.447528099,0.275234853,0.002668993
"Essex, MA",25009,-0.054809956,MA,0.089085202,0.815107608,0.377863251,0.002665284
"Pike, PA",42103,-0.020812639,PA,0.123671112,1.070108809,0.247238525,0.002651902
"Mineral, CO",08079,0,CO,0.026604143,0.225224556,0.39706334,0.00260078
"Plymouth, MA",25023,-0.039695211,MA,0.089085202,0.798304395,0.209166367,0.002546038
"Sussex, NJ",34037,-0.044414353,NJ,0.074201652,0.67755,0.234589125,0.002541142
"Allen, LA",22003,-0.025338541,LA,0.082517871,0.726746426,0.60160952,0.002536387
"Norfolk, MA",25021,-0.053341157,MA,0.089085202,0.81347473,0.229078751,0.002515652
"Baca, CO",08009,0,CO,0.026604143,0.225224556,0.285256499,0.002513264
"Kershaw, SC",45055,-0.040053908,SC,0.042045613,0.400476817,0.233979384,0.002479302
"Kimball, NE",31105,-0.050408997,NE,0.039880393,0.393658424,0.47569169,0.002477974
"Wasatch, UT",49051,-0.060676842,UT,0.031016817,0.330036294,0.43945062,0.002405327
"Ulster, NY",36111,-0.035023407,NY,0.049713377,0.459797889,0.223599728,0.002376487
"Marion, IN",18097,-0.053541988,IN,0.062111827,0.585347604,0.237319292,0.002374085
"Crisp, GA",13081,-0.029667799,GA,0.029935606,0.286409942,0.682229439,0.002324334
"Hampden, MA",25013,-0.037551141,MA,0.089085202,0.795920811,0.286733631,0.002317892
"Washington, LA",22117,-0.022040142,LA,0.082517871,0.723079563,0.640780608,0.00229467
"New Haven, CT",09009,-0.037867833,CT,0.033279081,0.323831096,0.252339904,0.002275501
"Berkshire, MA",25003,-0.040053177,MA,0.089085202,0.798702349,0.359435541,0.002249008
"Lincoln, ID",16063,-0.072472226,ID,0.053542309,0.533844974,0.243676027,0.002236303
"Middlesex, MA",25017,-0.062592283,MA,0.089085202,0.823759299,0.630664607,0.002199542
"Pitkin, CO",08097,-0.121149727,CO,0.026604143,0.359907919,0.404905535,0.002195081
"Navajo, AZ",04017,-0.016449767,AZ,0.034713808,0.312166481,0.445427024,0.002163644
"Clarendon, SC",45027,-0.015902724,SC,0.042045613,0.373627705,0.217880541,0.002133649
