GeoName,FIPS,GDP Impact,State,Unemploy Rate,GO_yieldImpact,REV_yieldImpact,infectedPCT,TotalConfirmed,retail,grocery,workplace
"Queens, NY",36081,-0.056290101,NY,0.049713377,0.483440286,0.292338641,1.16%,26248,-0.69,-0.37,-0.58
"Kings, NY",36047,-0.034128439,NY,0.049713377,0.458802945,0.19003371,0.86%,22082,-0.68,-0.33,-0.51
"Nassau, NY",36059,-0.027852237,NY,0.049713377,0.451825628,0.249344139,1.37%,18548,-0.66,-0.34,-0.47
"Bronx, NY",36005,-0.021923775,NY,0.049713377,0.445234898,0.247570877,1.17%,16626,-0.64,-0.3,-0.5
"Westchester, NY",36119,-0.042786673,NY,0.049713377,0.46842839,0.210091054,1.64%,15887,-0.64,-0.37,-0.47
"Suffolk, NY",36103,-0.044929552,NY,0.049713377,0.47081065,0.254452135,1.07%,15844,-0.58,-0.31,-0.41
"New York, NY",36061,-0.047369056,NY,0.049713377,0.473522672,0.931298685,0.71%,11504,-0.86,-0.51,-0.57
"Cook, IL",17031,-0.0527655,IL,0.048742569,0.471303315,0.932912815,0.20%,10520,-0.58,-0.26,-0.45
"Wayne, MI",26163,-0.059543349,MI,0.090799137,0.834879545,0.365265246,0.55%,9626,-0.57,-0.25,-0.45
"Bergen, NJ",34003,-0.06293186,NJ,0.074201652,0.698136098,0.692179052,0.84%,7874,-0.66,-0.37,-0.5
"Los Angeles, CA",06037,-0.042605489,CA,0.059779315,0.553442883,0.315350918,0.08%,7530,-0.51,-0.27,-0.41
"Rockland, NY",36087,-0.066372147,NY,0.049713377,0.494648597,0.936982699,1.97%,6413,-0.67,-0.35,-0.47
"Essex, NJ",34013,-0.05327297,NJ,0.074201652,0.687398213,0.456441213,0.70%,5598,-0.6,-0.27,-0.43
"Miami-Dade, FL",12086,-0.057935207,FL,0.029926153,0.317755078,0.571580235,0.20%,5461,-0.57,-0.35,-0.46
"Hudson, NJ",34017,-0.041551918,NJ,0.074201652,0.674367803,0.624371223,0.81%,5437,-0.62,-0.38,-0.51
"Richmond, NY",36085,-0.032937033,NY,0.049713377,0.457478447,0.413657333,1.12%,5343,-0.59,-0.31,-0.42
"Orleans, LA",22071,-0.06733539,LA,0.082517871,0.773434743,0.266934361,1.30%,5070,-0.71,-0.35,-0.54
"Union, NJ",34039,-0.057241366,NJ,0.074201652,0.691809919,0.438423035,0.87%,4831,-0.62,-0.32,-0.44
"Philadelphia, PA",42101,-0.034531234,PA,0.123671112,1.085359908,0.251341894,0.28%,4456,-0.57,-0.27,-0.42
"Fairfield, CT",09001,-0.051273649,CT,0.033279081,0.338734475,0.649524642,0.47%,4417,-0.61,-0.35,-0.44
"Passaic, NJ",34031,-0.046920391,NJ,0.074201652,0.680335988,0.236033218,0.87%,4372,-0.66,-0.34,-0.46
"Middlesex, NJ",34023,-0.066211241,NJ,0.074201652,0.701781818,0.32024462,0.50%,4156,-0.64,-0.41,-0.44
"Jefferson, LA",22051,-0.056749571,LA,0.082517871,0.761666382,0.427256027,0.95%,4092,-0.49,-0.2,-0.44
"Oakland, MI",26125,-0.073340113,MI,0.090799137,0.850217546,0.243865521,0.32%,4007,-0.65,-0.35,-0.5
"Orange, NY",36071,-0.042852901,NY,0.049713377,0.468502016,0.567068966,1.00%,3865,-0.58,-0.38,-0.4
"King, WA",53033,-0.053750389,WA,0.085517589,0.783727088,0.629333222,0.16%,3668,-0.57,-0.3,-0.47
"Suffolk, MA",25025,-0.048481445,MA,0.089085202,0.808072139,0.564771832,0.45%,3600,-0.71,-0.41,-0.51
"Middlesex, MA",25017,-0.062592283,MA,0.089085202,0.823759299,0.387390418,0.22%,3545,-0.64,-0.41,-0.46
"Monmouth, NJ",34025,-0.048094716,NJ,0.074201652,0.681641497,0.326190829,0.49%,3038,-0.62,-0.34,-0.44
"Ocean, NJ",34029,-0.038461339,NJ,0.074201652,0.670931975,0.624760114,0.47%,2856,-0.55,-0.31,-0.42
