FIPS,State,Name,COUNTY/TOWN,Bull,Base,Bear,RHG_HurrGDP_2020,RHG_HurrGDP_2030,RHG_HurrGDP_2040,RHG_HurrGDP_2050,RHG_HurrGDP_2060,RHG_HurrGDP_2070,RHG_HurrGDP_2080,RHG_HurrGDP_2090
01001,AL,Alabama,Autauga County,-0.021444489,-0.034466194,-0.063196595,0.014566942,0.01870731,0.025907752,0.035477194,0.042072122,0.046442662,0.049858129,0.049918426
01003,AL,Alabama,Baldwin County,-0.056219998,-0.089615239,-0.160849067,0.020682596,0.028196318,0.03824238,0.052868829,0.061854021,0.071749583,0.079915402,0.082901315
01005,AL,Alabama,Barbour County,-0.010997354,-0.017826379,-0.033391312,0.020096158,0.024476328,0.031911744,0.04179492,0.047688626,0.053174389,0.05620511,0.057619373
01007,AL,Alabama,Bibb County,-0.013730322,-0.022278089,-0.041830163,0.011293901,0.01452067,0.021327252,0.030038493,0.035861806,0.040067966,0.042507368,0.042721562
01009,AL,Alabama,Blount County,-0.019770534,-0.031853509,-0.058768803,0.00929223,0.01071983,0.014710698,0.019605896,0.023141963,0.026045862,0.027543185,0.02830191
01011,AL,Alabama,Bullock County,-0.010004931,-0.016211593,-0.03033837,0.018481431,0.022852011,0.02994129,0.039884725,0.045750649,0.050846805,0.054121797,0.055031748
01013,AL,Alabama,Butler County,-0.02960082,-0.047694245,-0.088006442,0.017862762,0.023321659,0.031057218,0.04309048,0.050298358,0.056843145,0.061934986,0.062839546
01015,AL,Alabama,Calhoun County,-0.030078629,-0.048304856,-0.088391844,0.010370093,0.011981402,0.015943079,0.020457383,0.024141364,0.026658238,0.027961783,0.028745223
01017,AL,Alabama,Chambers County,-0.020335213,-0.0336561,-0.066250554,0.014418899,0.017211189,0.022596493,0.029849598,0.034280686,0.038370353,0.040391823,0.041067542
01019,AL,Alabama,Cherokee County,-0.017240619,-0.027804273,-0.051423132,0.008820769,0.009917087,0.012806343,0.016222818,0.019004914,0.021548817,0.022506588,0.023281516
01021,AL,Alabama,Chilton County,-0.03000792,-0.048273724,-0.088719806,0.012478188,0.01591644,0.02276919,0.031355709,0.037333476,0.041557096,0.043661756,0.044193012
01023,AL,Alabama,Choctaw County,-0.003802706,-0.006151159,-0.011462237,0.013512319,0.018531799,0.028254627,0.040233193,0.048269868,0.055471929,0.061564412,0.064066208
